BankModel..1 	 executes Arrival..125 on 42 	 Entity..124 	 at time 474.48787391402834.
BankModel..1 	 executes Departure..126 on 41 	 Entity..121 	 at time 478.42607616144977.
BankModel..1 	 records 3.9382022474214295 wait for 42 	 Entity..124 	 at time 478.42607616144977.
BankModel..1 	 executes Arrival..128 on 43 	 Entity..127 	 at time 480.89364636860955.
BankModel..1 	 executes Departure..129 on 42 	 Entity..124 	 at time 482.0137636897375.
BankModel..1 	 records 1.1201173211279638 wait for 43 	 Entity..127 	 at time 482.0137636897375.
BankModel..1 	 executes Departure..132 on 43 	 Entity..127 	 at time 490.19081903441935.
BankModel..1 	 executes Arrival..131 on 44 	 Entity..130 	 at time 490.8238131013109.
BankModel..1 	 executes Departure..135 on 44 	 Entity..130 	 at time 493.8917245995893.
BankModel..1 	 executes Arrival..134 on 45 	 Entity..133 	 at time 510.3012754655581.
BankModel..1 	 executes Departure..138 on 45 	 Entity..133 	 at time 510.51771500120276.
BankModel..1 	 executes Arrival..137 on 46 	 Entity..136 	 at time 514.7722346292996.
BankModel..1 	 executes Departure..141 on 46 	 Entity..136 	 at time 515.6003891480265.
BankModel..1 	 executes Arrival..140 on 47 	 Entity..139 	 at time 535.8519934692328.
BankModel..1 	 executes Arrival..143 on 48 	 Entity..142 	 at time 541.2386478429278.
BankModel..1 	 executes Departure..144 on 47 	 Entity..139 	 at time 547.068471484561.
BankModel..1 	 records 5.829823641633197 wait for 48 	 Entity..142 	 at time 547.068471484561.
BankModel..1 	 executes Arrival..146 on 49 	 Entity..145 	 at time 547.838233971871.
BankModel..1 	 executes Departure..147 on 48 	 Entity..142 	 at time 549.6829639684519.
BankModel..1 	 records 1.8447299965808952 wait for 49 	 Entity..145 	 at time 549.6829639684519.
BankModel..1 	 executes Departure..150 on 49 	 Entity..145 	 at time 558.509630646359.
BankModel..1 	 executes Arrival..149 on 50 	 Entity..148 	 at time 559.6645605712683.
BankModel..1 	 executes Arrival..152 on 51 	 Entity..151 	 at time 573.9460206288968.
BankModel..1 	 executes Departure..153 on 50 	 Entity..148 	 at time 575.7229046311365.
BankModel..1 	 records 1.7768840022397399 wait for 51 	 Entity..151 	 at time 575.7229046311365.
BankModel..1 	 executes Departure..156 on 51 	 Entity..151 	 at time 576.6702150376576.
BankModel..1 	 executes Arrival..155 on 52 	 Entity..154 	 at time 580.4641704026508.
BankModel..1 	 executes Arrival..158 on 53 	 Entity..157 	 at time 580.9775425169182.
BankModel..1 	 executes Arrival..161 on 54 	 Entity..160 	 at time 584.1056278934096.
